RestaurantID,CountryCode,Country,City,Cuisines,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Average_Cost_for_two,Rating,Datekey_Opening,Average Ratings,Price Range
18452267,1,India,Faridabad,Asian,No,No,No,No,500,1,2013-03-07,1-1.99,401-600
18369105,1,India,Faridabad,"Cafe, Italian, Salad",No,Yes,No,No,650,2.6,2017-03-19,2-2.99,601-800
18420465,1,India,Faridabad,"North Indian, Chinese, Italian, Fast Food",No,Yes,No,No,700,3.1,2010-03-28,3-3.99,601-800
309656,1,India,Faridabad,"Raw Meats, North Indian, Fast Food",No,No,No,No,350,3.1,2016-03-20,3-3.99,201-400
18446428,1,India,Faridabad,North Indian,No,No,No,No,300,1,2016-03-08,1-1.99,201-400
18456807,1,India,Faridabad,"North Indian, Mughlai, Chinese",No,No,No,No,400,1,2010-03-24,1-1.99,201-400
9224,1,India,Faridabad,"Bakery, Desserts",No,No,No,No,150,3.1,2011-03-25,3-3.99,0-200
18381643,1,India,Faridabad,"Mithai, Street Food",No,No,No,No,100,1,2015-03-18,1-1.99,0-200
313040,1,India,Faridabad,"North Indian, South Indian, Chinese, Fast Food",No,Yes,No,No,500,2.7,2013-03-02,2-2.99,401-600
18449815,1,India,Faridabad,"North Indian, Mughlai, Continental",No,No,No,No,600,1,2018-03-12,1-1.99,401-600
2679,1,India,Faridabad,Finger Food,Yes,No,No,No,1400,3.1,2011-03-14,3-3.99,1001-2000
18477319,1,India,Faridabad,"North Indian, Mughlai, Chinese",No,No,No,No,400,1,2013-02-04,1-1.99,201-400
308962,1,India,Faridabad,"North Indian, Mughlai, Chinese",Yes,No,No,No,1500,1,2015-02-05,1-1.99,1001-2000
309368,1,India,Faridabad,"North Indian, Chinese, Continental",Yes,No,No,No,1500,1,2012-02-17,1-1.99,1001-2000
18204479,1,India,Faridabad,North Indian,No,Yes,No,No,450,3.1,2015-02-03,3-3.99,401-600
2198,1,India,Faridabad,"North Indian, Chinese",Yes,No,No,No,700,2.9,2010-02-23,2-2.99,601-800
18273628,1,India,Faridabad,North Indian,No,No,No,No,700,1,2011-02-15,1-1.99,601-800
18383469,1,India,Faridabad,"North Indian, Chinese",No,Yes,No,No,600,3.2,2014-02-19,3-3.99,401-600
308335,1,India,Faridabad,Pizza,No,No,No,No,600,2.7,2011-02-18,2-2.99,401-600
312981,1,India,Faridabad,Bakery,No,No,No,No,500,3.4,2017-02-15,3-3.99,401-600
5005,1,India,Faridabad,North Indian,No,No,No,No,400,3.6,2011-02-17,3-3.99,201-400
3866,1,India,Faridabad,"American, Fast Food, Salad, Healthy Food",No,No,No,No,500,3.5,2012-02-16,3-3.99,401-600
1430,1,India,Faridabad,North Indian,No,No,No,No,400,2.9,2011-02-18,2-2.99,201-400
306962,1,India,Faridabad,North Indian,No,No,No,No,400,3.1,2014-02-09,3-3.99,201-400
18464631,1,India,Faridabad,Chinese,No,No,No,No,300,1,2011-02-12,1-1.99,201-400
304001,1,India,Faridabad,"Chinese, North Indian",No,No,No,No,400,2.8,2011-02-13,2-2.99,201-400
18432933,1,India,Faridabad,"North Indian, Mughlai, Chinese",No,No,No,No,400,1,2015-02-18,1-1.99,201-400
18482753,1,India,Faridabad,North Indian,No,No,No,No,400,1,2016-02-18,1-1.99,201-400
18353030,1,India,Faridabad,"Chinese, Fast Food",No,No,No,No,300,1,2017-02-07,1-1.99,201-400
18089775,1,India,Faridabad,"Raw Meats, Fast Food",No,No,No,No,300,1,2014-02-27,1-1.99,201-400
18380159,1,India,Faridabad,North Indian,No,No,No,No,100,1,2014-02-14,1-1.99,0-200
307084,1,India,Faridabad,"Fast Food, Chinese",No,No,No,No,700,3.2,2018-02-13,3-3.99,601-800
8297,1,India,Faridabad,"Mithai, Street Food",No,No,No,No,150,3.1,2014-02-10,3-3.99,0-200
18471320,1,India,Faridabad,Fast Food,No,No,No,No,300,1,2014-02-01,1-1.99,201-400
2680,1,India,Faridabad,"Bakery, Desserts",No,No,No,No,700,3,2010-02-06,3-3.99,601-800
301729,1,India,Faridabad,North Indian,No,No,No,No,150,2.9,2014-01-01,2-2.99,0-200
311051,1,India,Faridabad,"American, Fast Food, Burger",No,Yes,No,No,500,2.1,2016-01-06,2-2.99,401-600
6077,1,India,Faridabad,"Ice Cream, Desserts",No,No,No,No,400,3.2,2016-01-03,3-3.99,201-400
18472429,1,India,Faridabad,North Indian,No,No,No,No,300,1,2011-01-11,1-1.99,201-400
301193,1,India,Faridabad,Bakery,No,No,No,No,200,3.3,2013-01-27,3-3.99,0-200
6152,1,India,Faridabad,"Chinese, Fast Food",No,No,No,No,400,2.5,2014-01-07,2-2.99,201-400
303871,1,India,Faridabad,"North Indian, Chinese",No,Yes,No,No,600,2.7,2013-01-25,2-2.99,401-600
18452730,1,India,Faridabad,"Ice Cream, Desserts, Beverages",No,No,No,No,400,1,2012-01-22,1-1.99,201-400
305235,1,India,Faridabad,Chinese,No,No,No,No,350,2.9,2013-01-25,2-2.99,201-400
304112,1,India,Faridabad,"South Indian, North Indian, Chinese",No,No,No,No,800,2.7,2017-01-24,2-2.99,601-800
18444264,1,India,Faridabad,"North Indian, Mughlai, Chinese",Yes,No,No,No,500,3.3,2011-01-19,3-3.99,401-600
